exercise	part	section	fen	turn	solutionSan	solutionUci	solutionText	whitePlayer	blackPlayer	event	year	game	bookPage	pdfPage
305	priyome	exam	r1b2rk1/1pqn1pbp/p2ppnp1/5PB1/3NP3/2PB4/PP1N2PP/R2Q1R1K b - - 0 1	black	Ne5 Nc2 gxf5 exf5 d5 Qe1	d7e5 d4c2 g6f5 e4f5 d6d5 d1e1	12...Ne5!= The knight settles on an excellent square, while keeping e6 and f6 sufficiently protected. 12...e5 13.Nc2² and the knight moves towards d5. 12...Nc5 13.Bc2 threatens b2-b4. 12...gxf5 13.exf5 e5 14.Nc2 d5 15.Qe1± Black’s centre is as fragile as it is strong, and the weak king is always there.	Scheveningen				Scheveningen	242	242
306	priyome	exam	r3r1k1/1bqnbpp1/2n1p2p/p1ppP2P/1p3BN1/3P1NP1/PPPQ1PB1/R3R1K1 b - - 0 1	black	Nd4 Bxh6 Nxf3+ Bxf3 d4	c6d4 f4h6 d4f3 g2f3 d5d4	17...Nd4! Potentially opening up the c-file or the a8-h1 diagonal. Exchanging on f3 is also important to avoid White’s sacrifice with Bxh6, Nxh6+ and Qf4, as White would need the second knight for the attack. 18.Nxd4 18.c3 Nxf3+ 19.Bxf3 bxc3 20.bxc3 d4³ 18...cxd4 Black has enough counterplay not to let White attack for free.	Osmak	Ward	Internet (Rapid)	2022	Osmak – Ward, Internet (Rapid) 2022	243	243
307	priyome	exam	r1bqr1k1/1p3ppp/p1nb1n2/3p4/3N4/P1N1P2P/1P2BPP1/R1BQR1K1 b - - 0 1	black	Bc7 Bh5 Nxd4 b4 Qd6	d6c7 e2h5 c6d4 b2b4 d8d6	12...Bc7 Preparing ...Qd6. Since White has played h2-h3, it’s not currently possible to close the diagonal with g2-g3. (However, ...Bc7 followed by ...Qd6 is also a standard plan in positions with the pawn on h2.) 12...Bb8 is also possible, but less natural – and who knows, maybe the rook will want to move one day... 12...h5!? is a useful move, since 13.Bxh5? Nxd4 wins a piece – but Black should still go for ...Bc7 and ...Qd6 in the near future. If this was your idea, then it also counts as a correct solution. 13.Bf1 It seems best to protect the h3-pawn in advance, thus preparing g2-g3. 13.b4 Qd6 14.Nf3 Ne5‚ 13...h5!³ White’s problem is the bishop on c1.	Braamhaar	Juth	Internet (Rapid)	2023	Braamhaar – Juth, Internet (Rapid) 2023	243	243
308	priyome	exam	r1b2rk1/pp1nqppp/3p1n2/2p1p1B1/2PPP3/P1PB1N2/5PPP/R2Q1RK1 w - - 0 1	white	Nh4 g6 f4	f3h4 g7g6 f2f4	11.Nh4!± Black’s unfortunate piece arrangement makes f5 a tasty square. 11...g6? would make things much worse: 12.f4+–	Nimzo-Indian				Nimzo-Indian	244	244
309	priyome	exam	r1b2rk1/1p2qpnp/pnp3p1/3p4/PP1P4/2NBP3/2Q1NPPP/1R3RK1 w - - 0 1	white	b5 a5 Ng3 cxb5 axb5 Nc4 Bxc4 dxc4	b4b5 a6a5 e2g3 c6b5 a4b5 b6c4 d3c4 d5c4	15.b5 With the knight on b6 undefended, this standard move comes with a threat. 15.a5 Nd7 16.Na4 looks nice, but there’s not much to achieve on the queenside. 15.Ng3 stops ...Bf5, but the game continuation is a better way to do it. 15...axb5 15...cxb5 is an important option to consider. (16.axb5 a5 would be fine for Black. However, since Black has delayed ...Be6, White can play 16.a5!± to target the d5-pawn. A useful idea to remember!) 16.axb5 The knight on b6 is hanging, so Black doesn’t have time for the desirable ...Bf5. 16...c5 16...Nc4?! 17.bxc6 bxc6 18.Bxc4 dxc4 19.Rb6± 17.dxc5 Qxc5² This position has been reached in several games besides my own – but none involving a World Champion.	Smith	Johansson	Uppsala (Rapid)	2022	Smith – Johansson, Uppsala (Rapid) 2022	245	245
310	priyome	exam	r4rk1/pp1bppbp/3p1np1/q3n1B1/2P5/1PN3P1/P1N1PPBP/R2Q1RK1 w - - 0 1	white	Bxf6 exf6 Nd5	g5f6 e7f6 c3d5	12.Bxf6! 12.Bd2² 12...exf6 The change in pawn structure isolates the d-pawn and makes it impossible for Black to control the d5-square with ...e7-e6 in the future. After 12...Bxf6?! 13.Nd5+– Black will be forced to recapture with ...e7xf6 anyway, with an even worse version. 13.Nd5± A golden square on d5 is more important than the bishop pair. Black has only one pawn lever (...b7-b5) and it does not open the position much.	Symmetrical English				Symmetrical English	246	246
311	priyome	exam	r2qr1k1/pbpn1ppp/1p1b1n2/3p4/1P1P4/1QNBPN2/P4PPP/R1B2RK1 b - - 0 1	black	a6 Bxa6 Bxa6 Nxd5 Nxd5 Qxd5	a7a6 d3a6 b7a6 c3d5 f6d5 b3d5	Black has stayed with the c-pawn on c7 in a Carlsbad structure, avoiding White’s standard minority attack. White should still play on the queenside11.b5! White may proceed with a4-a5, or with Ba3 followed by doubling up on the c-file. 11...a6 loses a pawn after 12.bxa6 Bxa6 13.Bxa6 Rxa6 14.Nxd5 Nxd5 15.Qxd5², although Black does have some compensation due to the weak a-pawn.	Queen’s Gambit				Queen’s Gambit	246	246
312	priyome	exam	r3kbnr/1p1n1ppp/p1p1p3/q2p1b2/2PP1B2/2NBPN2/PP3PPP/R2QK2R b KQkq - 0 1	black	Ba3	f8a3	8...Ba3! The pawn on b2 is overloaded and White loses material. (White’s queen is busy defending the bishop on d3.) Remember that the same configuration might occur with a white queen on a4, black knight on c6 and so on.	Slav Defence				Slav Defence	247	247
313	priyome	exam	r1b2rk1/bpp2pp1/p2p1qnp/4p3/3PPn2/1BP1BNNP/PP3PPK/R2QR3 b - - 0 1	black	c5 Nh4 Nxh4 Nf5 d5 Nxh4 exd4 cxd4 cxd4 Bxd4 Bxh3	c7c5 f3h4 g6h4 g3f5 d6d5 f5h4 e5d4 c3d4 c5d4 e3d4 c8h3	15...c5! Challenging White’s centre, and threatening to capture several times on d4 to get the e5- or h4-square for the knight. 15...Nh4? runs into 16.Nxh4 Qxh4 17.Nf5± when exchanging on f5 opens up for White’s rook, putting pressure on the e5-pawn. 16.Qd2 16.d5 is met by 16...Nh4= when the Nxh4/Nf5 idea is no longer dangerous. 16.dxc5 dxc5ƒ Black threatens ...Rd8, chasing White’s queen from the defence of the knight on f3. 16...exd4 17.cxd4 cxd4 18.Bxd4 18.Nxd4 leaves White short of defenders on the kingside. Without going into details, 18...Bxh3!ƒ is a promising sacrifice. (18...Nxg2!? is also adequate.) 18...Bxd4 19.Qxd4 Ne5 20.Nxe5 dxe5=	Vocaturo	Grandelius	Wijk aan Zee	2010	Vocaturo – Grandelius, Wijk aan Zee 2010	248	248
314	priyome	exam	4rrk1/2pbqpb1/1p1p1npp/p1nPp3/2P1P3/PPN2N1P/2Q1BPP1/R1B2RK1 b - - 0 1	black	a4 b4 Nb3 Rb1 Nd4	a5a4 b3b4 c5b3 a1b1 b3d4	White threatens b3-b4. 17...a4! Getting not only a square on b3... 18.b4 Nb3 19.Rb1 Nd4³ ...but also one on d4.	King’s Indian				King’s Indian	248	248
315	priyome	exam	2r2rk1/1p2ppbp/3p2p1/p1nP2B1/2P5/8/PP1R1PPP/4RBK1 b - - 0 1	black	Bf6 Be3	g7f6 g5e3	19...Bf6! A convenient way to defend the pawn. Exchanging bishops would only help Black. 20.Be3!= 20.Bxf6 exf6³ gives Black good chances with the superior minor piece.	Accelerated Dragon				Accelerated Dragon	249	249
316	priyome	exam	r1bqr1k1/ppp2ppp/2n2n2/8/2BP4/P1P1BN2/5PPP/R2QK2R b KQ - 0 1	black	Na5 Bd3 Be6 c4 Bg4 Qa4 Bh5	c6a5 c4d3 c8e6 c3c4 e6g4 d1a4 g4h5	11...Na5! Taking control over the light squares. 12.Bd3 12.Ba2?! Be6 When playing for colour domination (in this case, the light squares c4 and d5), it’s generally favourable to exchange the bishops that control those squares. 12...Bg4! Immediately controlling the c4-square with 12...Qd5 allows White to avoid the pin: 13.Qa4 13.h3 Bh5³	Siebrecht	Farago	Arco	2010	Siebrecht – Farago, Arco 2010	250	250
317	priyome	exam	2r1rnk1/pp1qbp1p/2p1b1p1/3pP3/3P1P2/2NB2N1/PPQ3PP/4RRK1 b - - 0 1	black	f5 Nge2 Bf6 g4 Bf7 Bb5	f7f5 g3e2 e7f6 g2g4 e6f7 d3b5	17...f5! The only good way to stop f4-f5. 18.Nge2 White can play for g2-g4 in the long run, but that’s a lot less dangerous than f4-f5. 18.exf6? Bxf6µ 18...Kh8! 18...Bf7?! 19.g4!² Or in the short run, if Black gets careless. 19.a3 Bf7= The knight reaches e6. Note that the otherwise desirable 19...c5? loses an exchange: 20.Bb5+–	Queen’s Gambit	Exchange Variation			Queen’s Gambit – Exchange Variation	250	250
318	priyome	exam	r3r1k1/pb1n1p1p/1p3qp1/2pP4/2P5/5N2/P2QBPPP/R3R1K1 w - - 0 1	white	a4	a2a4	17.a4!± Planning to exchange White’s isolated pawn, while also creating a backward pawn in Black’s camp. The next two moves may be a4-a5 and Reb1. White should keep the rooks and not care about the e-file.	Grünfeld				Grünfeld	251	251
319	priyome	exam	1rb1rqk1/3n1pbp/pp1p2p1/2pP3n/P1B1P3/2N4P/1P1N1PPB/R2QR1K1 b - - 0 1	black	Be5 f4	g7e5 f2f4	16...Be5! Taking control over f4 before the knight was kicked back by g2-g4. White is still better after several different moves, but Black has to play like this. 17.g3!? Keeping pieces on the board is the most ambitious, but at least Black has managed to temporarily shut in the bishop on h2.	Benoni				Benoni	252	252
320	priyome	exam	r1b1r1k1/pp3pb1/2pp4/5pqp/1PPP1Nn1/2NQP1P1/P4PB1/R4RK1 w - - 0 1	white	Bf3 h4 Bxg4 fxg4 Kg2 hxg3 Rh1 Qh4	g2f3 h5h4 f3g4 f5g4 g1g2 h4g3 f1h1 g5h4	16.Bf3! As the c3-knight is too far away from the f3-square, another defence is needed against ...h5- h4. 16.Bh3 also does the job, but in that case the bishop is worse placed in the event that Black refrains from ...h5-h4. 16...h4 17.Bxg4 fxg4 17...Qxg4 18.Kg2! hxg3 19.Rh1+– (19.f3 is also good.) 18.gxh4 Qxh4 19.Kg2²	Mensch	Giffard	Belfort	2004	Mensch – Giffard, Belfort 2004	252	252
321	priyome	exam	2r2rk1/p2bbppp/1qn1p1n1/3pP3/1P1P4/P1N2NP1/1B2BP1P/R2Q1RK1 b - - 0 1	black	Na5 Nd2 Ba4 Qxa4 Nc4 Qb3 Rc7 Nxc4 dxc4 h4	c6a5 f3d2 d7a4 d1a4 a5c4 a4b3 c8c7 d2c4 d5c4 h2h4	11...Na5! Activating the knight – a standard manoeuvre. White has two ways to play for the advantage. 12.Nd2!? 12.Na4 is the simpler option. After 12...Bxa4 13.Qxa4 Nc4 14.Qb3 Rc7 the c4- knight is strong, but its colleague on g6 is the worst-placed piece on the board. 12...Qxd4! 12...Nc4 13.Nxc4 dxc4 14.h4!± Another standard move, which must be played before Black has time for ...Rfd8 and ...Bc6, threatening ...Nxe5. 13.bxa5 Rxc3 14.Bxc3 Qxc3 15.Nc4!² Let’s not analyse any longer – the exercise was about seeing ...Na5-c4.	French				French	253	253
322	priyome	exam	r1bq1rk1/1ppn1pbp/n2p2p1/p2Pp3/2P1P3/P1NBBP2/1PQ1N1PP/R3K2R b KQ - 0 1	black	Bh6 c5 Naxc5 O-O-O Bxe3+	g7h6 c4c5 a6c5 e1c1 h6e3	11...Bh6! Black’s bishop in the King’s Indian is restricted by the pawn on e5, but it does a good job of defending the king, and often comes alive later in the middlegame. Nevertheless, when situations arise such as the present position, where Black can fight for the dark squares (c5 and e3, for instance), it’s generally a good idea to exchange it. In the event of 11...Nac5 White could consider 12.0-0-0!? intending h4-h5. 12.Bxh6 12.Bf2 avoids the exchange, but Black is obviously the one who has benefited from the inclusion of the bishop moves. 12.Qd2?! Bxe3 13.Qxe3 Nac5 14.0-0 a4³ 12...Qh4+ 13.Ng3 Qxh6=	King’s Indian				King’s Indian	254	254
323	priyome	exam	r1bq1rk1/p2nbppp/1pp2n2/3p4/3P4/2NBPN2/PP3PPP/R1BQR1K1 w - - 0 1	white	e4 Ne5 Nxe5 Ng4 f4 f6 Qe2 c5	e3e4 d7e5 f3e5 f6g4 f2f4 f7f6 d1e2 c6c5	10.e4! Opening up for the bishop on c1. The isolated d4-pawn will never be weak, as Black will need to arrange ...c6-c5 to liberate the light-squared bishop. 10.Ne5 can be adequately met by: 10...Nxe5 Black should exchange before the knight is reinforced with f2-f4. 11.dxe5 Ng4 12.f4 f6= (12...d4!? is also possible.) 10...dxe4 11.Nxe4 Bb7 12.Qe2 c5 12...Re8 13.Ne5² 13.Neg5² White has some initiative.	Bureev	Agalakov	Novokuznetsk (Rapid)	2013	Bureev – Agalakov, Novokuznetsk (Rapid) 2013	254	254
324	priyome	exam	r2qk2r/pppnbppp/2b1pn2/6N1/3P4/3B1N2/PPP2PPP/R1BQ1RK1 w kq - 0 1	white	Nxf7 Kxf7 Ng5+ Kg8 Nxe6 Qc8 Re1	g5f7 e8f7 f3g5 f7g8 g5e6 d8c8 f1e1	9.Nxf7! White only gets two pawns for the knight, but more importantly deprives Black’s king of a safe future. 9...Kxf7 9...Bxf3 10.Nxd8 Bxd1 11.Nxe6 Bg4 12.Nxc7+ Kf7 13.Nxa8 Rxa8+– and White has too many pawns. 10.Ng5+ Kg8 11.Nxe6 Qc8 White is not in a hurry, but should still play forcefully. 12.Re1!± First priority: developing.	Nilsson	Smith	Lund (Rapid)	2006	Nilsson – Smith, Lund (Rapid) 2006	255	255
325	priyome	exam	rnbqk2r/pp2bppp/5p2/2p5/2PP4/2P2N2/P4PPP/R1BQKB1R b KQkq - 0 1	black	O-O Be3 Nc6 h3 h5 d5 Ne5 Nxe5 fxe5 f4	e8g8 c1e3 b8c6 h2h3 h7h5 d4d5 c6e5 f3e5 f6e5 f2f4	This highly unusual pawn structure can be compared with two popular opening variations featuring doubled pawns. The Caro-Kann with 4...Nf6 5.Nxf6+ exf6 features the same doubled f-pawns on Black’s side, but White does not have doubled c-pawns. Conversely, the Mikenas Variation of the English Opening (1.c4 Nf6 2.Nc3 e6 3.e4 d5 4.e5 d4 5.exf6 dxc3 6.bxc3 Qxf6) produces the same queenside structure for White, but without the doubled f-pawns for Black. Compared to the former, White’s queenside structure is weaker and less mobile, and there is no chance of White’s king being able to settle on the queenside. Compared to the latter, Black has a safer king. It might sound as if White is doing badly, but it’s actually not the case. 9.Bd3!² White’s advantage is the d5-square. The best set-up is Bd3, 0-0, Be3 and later Be4 (the key move). The bishop can sometimes continue to d5. 9.Be2?! was the less purposeful continuation that I chose in the game. 9...Nc6 Threatening the pawn. 9...Bg4 10.h3! Bh5 11.Rb1² leaves Black with weak light squares on the queenside; having been driven to h5, the bishop has no way back. 10.d5! Ne5 11.Nxe5 fxe5 12.f4²	Smith	Namini	Lund (Rapid)	2019	Smith – Namini, Lund (Rapid) 2019	256	256
326	priyome	exam	rnbq1rk1/1p2bppp/p3pn2/8/2P1N3/P2B1N2/1P3PPP/R1BQ1RK1 b - - 0 1	black	Nxe4 Bxe4 f5 Bc6 Bf6	f6e4 d3e4 f7f5 e4c6 e7f6	11...Nxe4 A neutral move like 11...Nbd7 leaves Black slightly worse due to some development challenges (especially with the c8-bishop) and White’s more active pieces. 12.Bxe4 f5! Black mobilizes the kingside pawn majority. Notice that this would not have been possible with a knight on c6 due to Bxc6, gaining control of the e5-square. 13.Bc2 Bf6 The following moves are ...Nc6 and ...e6-e5. The bishop on f6 stops White from developing smoothly. The chances are balanced.	Browne	Marovic	Skopje (Rapid)	1970	Browne – Marovic, Skopje (Rapid) 1970	257	257
327	priyome	exam	r2qk2r/pp2npbp/2npb1p1/2pNp3/2P5/3P2P1/PP1NPPBP/R1BQK2R w KQkq - 0 1	white	Nb1	d2b1	9.Nb1! Shifting the knight to c3, from where it controls d5 as well as b5. Delaying castling also makes it possible to meet Black’s short castling with h2-h4. This is hardly a revolutionary idea, and Black would answer with ...h7-h6 or ...h7-h5 – but still, it’s useful to have the option.	Kryavkin	Smith	Lund (Rapid)	2019	Kryavkin – Smith, Lund (Rapid) 2019	257	257
328	priyome	exam	r4bk1/ppP2r1n/3P2n1/P3p2p/2N1Pp1q/2N2Ppb/4B1PP/R2Q1RBK w - - 0 1	white	gxh3 Qxh3 Rf2 gxf2 Bxf2	g2h3 h4h3 f1f2 g3f2 g1f2	Dozens of games have reached similar positions, and in almost half of them White has missed Black’s mating combination. 24.gxh3! 24.Ra2?? Bxg2+ 25.Kxg2 Qh3+!! is the sacrificial motif that both players must be aware of in such positions. 26.Kxh3 Ng5+ 27.Kg2 Nh4+ 28.Kh1 g2# 24...Qxh3 25.Rf2 The only move that defends against mate. Not an easy move to play if you haven’t seen the idea before, but it’s a standard defence in many similar positions. 25...gxf2 26.Bxf2 Black is an exchange up, but the attack is stopped and White wins on the queenside and with the d5-square.	Smith	Hirneise	Pardubice (Rapid)	2010	Smith – Hirneise, Pardubice (Rapid) 2010	258	258
329	priyome	exam	r1bq2k1/ppp2rb1/1P3nn1/P2Pp2p/1BN1Pp2/2N2PpP/4B1P1/R2Q1RK1 b - - 0 1	black	Bxh3 gxh3 Qd7 Bd3 Qxh3 Ra2 Nh4 Re1 g2 Kf2 Qg3+ Ke2 Nxf3	c8h3 g2h3 d8d7 e2d3 d7h3 a1a2 g6h4 f1e1 g3g2 g1f2 h3g3 f2e2 h4f3	21...Bxh3! It is said that Black needs the light-squared bishop for an effective attack on the kingside. (A positional remark.) 22.gxh3 Qd7 White can’t really defend. Here is a sample variation (that you don’t need to have calculated): 23.Bd3 Qxh3 24.Ra2 Nh4 25.Re1 g2 26.Kf2 Qg3+ 27.Ke2 Nxf3 Finally winning material.	King’s Indian				King’s Indian	259	259
330	priyome	exam	rn1qkb1r/pp3p1p/3p1np1/2pP4/4P1b1/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 1	white	Qa4+ Bd7 Nd2	d1a4 g4d7 f3d2	8.Qa4+! With less space, Black is happy to exchange one (or several) minor pieces in the Benoni pawn structure. The queen check avoids any such exchanges. 8...Bd7 8...Nbd7 9.Nd2! To avoid getting the bishop on g4 trapped, Black has to play the ugly ...g6-g5, or the even uglier ...Ke7 followed by ...Nb6. 9.Qb3± Black would have preferred a knight on d7.	Rajkovic	Vratonjic	Bar (Rapid)	2007	Rajkovic – Vratonjic, Bar (Rapid) 2007	259	259
331	priyome	exam	2rqk2r/1b1n1ppp/p1pbpn2/1p6/3P4/2NBPN2/PP1B1PPP/2RQ1RK1 w k - 0 1	white	b4 O-O Nxb5 cxb5	b2b4 e8g8 c3b5 c6b5	12.b4! An important trick to stop ...c6-c5. 12...0-0² The tactical justification speaks for itself: 12...Bxb4 13.Nxb5! cxb5 (13...Be7 14.Na7+–; 13...Bxd2 14.Nd6++–) 14.Bxb4²	Meran Variation				Meran Variation	260	260
332	priyome	exam	r2qr1k1/1p1b1pb1/p1pp1np1/5p1p/PPPP4/2NQP1P1/4NPBP/1R3RK1 w - - 0 1	white	h4 Ng4 Bf3 g5 Kg2 gxh4 Bxg4 hxg4 Nf4 Qf6 Rh1 hxg3 Rh5	h2h4 f6g4 g2f3 g6g5 g1g2 g5h4 f3g4 h5g4 e2f4 d8f6 f1h1 h4g3 h1h5	15.h4! To stop ...h5-h4, which would prepare an attack against the white king and the h2-square. In the structure with Bg5xf6 and ...e7xf6, White’s main objectives are to restrict Black’s dark-squared bishop and make any necessary prophylactic moves on the kingside, while gradually expanding on the queenside. The knights can be placed on e2 and c3 (as in this example), or d2 and e2 (to have Nf3 available in case Black plays ...g6-g5), or even c3 and h3. In any case, ...h7-h5 is almost exclusively answered by h2-h4. No other moves are required for the exercise, but it’s worth seeing how the game may develop from here. 15...Ng4 16.Bf3! As White does not have a knight available to come to f3, another defence is needed against ...g6-g5 and ...h5-h4. 16...g5 17.Kg2! gxh4 Black’s best is to sacrifice a pawn with: 17...f4! 18.gxf4 gxf4 19.Bxg4 hxg4 20.Nxf4 Qf6!² Followed by ...Bf5 and ...Bh6. 18.Rh1 hxg3 19.Bxg4 hxg4 19...fxg4 20.Rxh5± 20.Nxg3±	Zucchelli	Gladyszev	Budapest	1996	Zucchelli – Gladyszev, Budapest 1996	260	260
333	priyome	exam	r2qr1k1/pp1b1pp1/3p3p/2p1p3/P1PPP3/2P2N2/2Q2PPP/R2R2K1 w - - 0 1	white	dxc5 dxc5 Nd2 Qc7 Nf1 f5 Ng3 fxe4 Nxe4 Rad8	d4c5 d6c5 f3d2 d8c7 d2f1 f7f5 f1g3 f5e4 g3e4 a8d8	18.dxc5! Not allowing Black to open the e-file. 18.dxe5 is the same. 18...dxc5 19.Nd2 The knight manoeuvres towards d5. However, Black is doing okay by playing for ...f7-f5. 19.Rd5?! Qc7 and the rook has to return soon. 19...Bc6 20.Nf1 Qh4! 21.f3 f5! To avoid the risk of being worse, White had to start the knight manoeuvre towards d5. However, Black’s energetic last few moves have created enough counterplay. 22.Ng3 fxe4 23.Nxe4 Rad8=	Nimzo-Indian				Nimzo-Indian	261	261
334	priyome	exam	r3k2r/1p1nbppp/p3pnb1/8/8/1NN1P3/PP1BBPPP/2R2RK1 w kq - 0 1	white	f3 O-O Nc5	f2f3 e8g8 b3c5	15.f3!± Intending to lock the g6-bishop in jail with e3-e4. Black will require many tempos to free it by shifting the knight from f6, followed by ...f7-f6, ...Bg6-f7 and ...e6-e5. 15.Na5?! does not create a real threat, and 15...0-0 16.Bf3 Nc5= makes it impossible to carry out the plan of f2-f3 and e3-e4.	Slav Defence				Slav Defence	262	262
335	priyome	exam	rnbq1rk1/1p2ppbp/pn1p2p1/8/2PP4/P1N1BN2/1P3PPP/2RQKB1R b K - 0 1	black	Bg4 d5 Nxc4 Bxc4 Bxf3 Qxf3 Nc6 Rd1 e5 b3 Ra7	c8g4 d4d5 b6c4 f1c4 g4f3 d1f3 b8c6 c1d1 e7e5 b2b3 a8a7	10...Bg4! Attacking the centre by pinning/exchanging the knight on f3. All recaptures will then have a disadvantage: Bxf3 leaves the c4-pawn en prise, Qxf3 weakens the d4-pawn and gxf3 weakens White’s kingside structure. 10...d5?! 11.c5 Nc4 12.Bxc4 dxc4 13.0-0± 11.Be2 11.h3 Bxf3 12.Qxf3 Nc6 13.Rd1 e5³ Everything against d4!; 11.d5 e6³; 11.b3!= is the best way to keep White’s position together. 11...Bxf3 12.Bxf3 12.gxf3 might be the lesser evil, although Black can obviously be happy to have provoked this. 12...Nxc4 13.Bxb7 Ra7 ...a7-a6 was an important move! Black has an excellent position.	Alekhine’s Defence				Alekhine’s Defence	262	262
336	priyome	exam	r1b1r1k1/ppq2pp1/2p1pb1p/8/3P3P/3BnN2/PPPQ1PP1/1K2R2R w - - 0 1	white	Qxe3 e5	d2e3 e6e5	16.Qxe3!+– Holding back both ...c6-c5 and ...e6-e5, and at the same time preparing Qe4. Black has no defence against g2-g4-g5. 16.fxe3? e5³; 16.Rxe3 c5²	French Defence	Burn Variation			French Defence – Burn Variation	263	263
337	priyome	exam	r4rk1/1p1nppbp/p2p2p1/3b4/1PP1PP2/4B1P1/P5BP/2R2RK1 w - - 0 1	white	cxd5 Rfc8 Bh3	c4d5 f8c8 g2h3	20.cxd5 Black is a tempo short to defend the queenside, since 20...Rfc8 21.Bh3!+– decides matters. Black would need a spare tempo for ...Kf8-e8 in order to survive.	Accelerated Dragon				Accelerated Dragon	264	264
338	priyome	exam	r2qkb1r/pp2np1p/2npb1p1/2p1p3/2P5/2NP2P1/PP2PPBP/R1BQKN1R b KQkq - 0 1	black	Bg7 Bg5 O-O a3 Nd5 Rb1 b5 cxb5 Nd4	f8g7 c1g5 e8g8 a2a3 e7d5 a1b1 b7b5 c4b5 c6d4	To stop ...d6-d5, White has been clever with Nf3-d2-f1-(e3) before castling. But Black has also been clever by avoiding ...Bg7. Or has he? 8...Bg7! Black should focus on completing development and accept the hole on d58...d5? was played in the game, when 9.Bg5!± would have left Black in a mess due to the threats of cxd5 and Bf6. 9.Ne3 0-0 The exercise is over, but it’s worth seeing a few sample lines from here. 10.a3 10.Ned5 Rb8 11.a3 a6= 10...Rb8 10...a5?! 11.Ned5² 11.Rb1 b5!! 12.0-0= 12.cxb5?! Nd4³ threatens ...Bb3, so Black should get the pawn back immediately. 12.Nxb5 d5©	Skrondal	Kvisvik	Oslo (Rapid)	2009	Skrondal – Kvisvik, Oslo (Rapid) 2009	264	264
339	priyome	exam	r1b1r1k1/pppn1p1p/n2p1qpQ/4p3/2PPP3/2N2N2/PP2BPPP/2KR3R w - - 0 1	white	c5 d5 Nxd5 Qd8 Bxa6 bxa6	c4c5 d6d5 c3d5 f6d8 e2a6 b7a6	12.c5! Attacking the knight and threatening to exchange on d6. That would be in White’s favour, since the knight can settle on d5 without being chased away by ...c7-c6. 12...exd4 13.Nd5 Qd8 14.Bxa6 bxa6 15.Nxd4+– White’s knights are tremendous and there is already a threat to trap the queen. When I was growing up, what we tried to pass on to people was: how do you find better moves? But now, when the computer is giving you the best moves right away, or the quickest answer, the thinking almost has to change. How do you remember what it tells you? How do you pick out what is essential? So, the skillset has changed. – Viswanathan Anand When I was a kid, the most difficult challenge was simply qualifying for the world championships in your age category. Actually winning it was not a big deal. That was normal. But winning the Soviet championships to qualify, that was much more difficult. – Vladimir Kramnik	Stojanovic	Saric	Borovo (Rapid)	2005	Stojanovic – Saric, Borovo (Rapid) 2005	265	265
340	priyome	academic	rn1qk1nr/pbp2pbp/1p1p2p1/4p3/3PP3/2P1BN2/PP1N1PPP/R2QKB1R w KQkq - 0 1	white	dxe5 dxe5 c4	d4e5 d6e5 c3c4	7.dxe5! 7.Bc4 allows Black to keep the bishop on g7 alive: 7...exd4 8.cxd4²; 7.Bb5+ is mildly irritating for Black, but less thematic. 7...dxe5 Black’s fianchettoed bishop on g7 is doomed to passivity for a long time. (But if White’s c-pawn was on c4 rather than c3, the bishop would make a good job helping Black to plant a knight on d4.) In the long run, the dark-squared bishop may be relocated via f8, but first Black needs to complete development and defend the e-pawn. That gives White time to create play on the queenside (where the bishop doesn’t participate). The first plan is a2- a4-a5, and if Black stops that by playing ...a7-a5, White will use the b5- and d5-squares for his pieces. If White can provoke Black into playing ...c7-c6 to control these squares, new weak squares arise on b6 and d6. 8.Bc4± Key factors: a black bishop on g7, a white pawn on c3.	Steinitz	Mongredien	London	1863	Steinitz – Mongredien, London 1863	269	269
341	priyome	academic	r2qk2r/ppp2ppp/2np4/2b1p2n/2B1P3/3P1PN1/PPP2P1P/R1BQ1RK1 b kq - 0 1	black	Nf4 Nh5 Ne2+	h5f4 g3h5 f4e2	9...Nf4!³ The knight is irritating, and if it’s taken, Black recaptures with tempo and gets time to jump with the other knight. The game continued 9...Qh4?! 10.Nxh5 Qxh5 11.c3÷ when White was allowed to exchange the strong knight without any concession. 9...Nxg3 10.hxg3 h5÷ tries to attack, but White can always meet ...h5-h4 with g3-g4. 10.Bxf4? exf4 11.Ne2 Ne5 12.Nxf4 Qh4 Black is winning. There is no need for additional analysis, but for those who are uncertain, here is an illustrative line: 13.Ng2?! Qh3 14.Ne1 0-0-0 Black threatens ...d6-d5 followed by ...Rd6, and if 15.d4 Nxc4 16.dxc5 dxc5 Black will win with ...Nd2 or...Ne5, or a deadly rook lift. William Steinitz “The king pawn and the queen pawn are the only ones to be moved in the early part of the game.”	Green	Steinitz	London (1)	1864	Green – Steinitz, London (1) 1864	270	270
